cp	max_depth	min_split	minbucket	ganancia_promedio
-1	1	1000	1	5970000
-0.5	1	1000	1	5970000
-0.4	1	1000	1	5970000
-0.3	1	1000	1	5970000
-0.2	1	1000	1	5970000
-0.1	1	1000	1	5970000
-1	1	1000	2	5970000
-0.5	1	1000	2	5970000
-0.4	1	1000	2	5970000
-0.3	1	1000	2	5970000
-0.2	1	1000	2	5970000
-0.1	1	1000	2	5970000
-1	1	1000	3	5970000
-0.5	1	1000	3	5970000
-0.4	1	1000	3	5970000
-0.3	1	1000	3	5970000
-0.2	1	1000	3	5970000
-0.1	1	1000	3	5970000
-1	1	1000	4	5970000
-0.5	1	1000	4	5970000
-0.4	1	1000	4	5970000
-0.3	1	1000	4	5970000
-0.2	1	1000	4	5970000
-0.1	1	1000	4	5970000
-1	1	1000	5	5970000
-0.5	1	1000	5	5970000
-0.4	1	1000	5	5970000
-0.3	1	1000	5	5970000
-0.2	1	1000	5	5970000
-0.1	1	1000	5	5970000
-1	1	1000	6	5970000
-0.5	1	1000	6	5970000
-0.4	1	1000	6	5970000
-0.3	1	1000	6	5970000
-0.2	1	1000	6	5970000
-0.1	1	1000	6	5970000
-1	1	1000	7	5970000
-0.5	1	1000	7	5970000
-0.4	1	1000	7	5970000
-0.3	1	1000	7	5970000
-0.2	1	1000	7	5970000
-0.1	1	1000	7	5970000
-1	1	1000	8	5970000
-0.5	1	1000	8	5970000
-0.4	1	1000	8	5970000
-0.3	1	1000	8	5970000
-0.2	1	1000	8	5970000
-0.1	1	1000	8	5970000
-1	1	1000	9	5970000
-0.5	1	1000	9	5970000
-0.4	1	1000	9	5970000
-0.3	1	1000	9	5970000
-0.2	1	1000	9	5970000
-0.1	1	1000	9	5970000
-1	1	1000	10	5970000
-0.5	1	1000	10	5970000
-0.4	1	1000	10	5970000
-0.3	1	1000	10	5970000
-0.2	1	1000	10	5970000
-0.1	1	1000	10	5970000
-1	1	1000	11	5970000
-0.5	1	1000	11	5970000
-0.4	1	1000	11	5970000
-0.3	1	1000	11	5970000
-0.2	1	1000	11	5970000
-0.1	1	1000	11	5970000
-1	1	1000	12	5970000
-0.5	1	1000	12	5970000
-0.4	1	1000	12	5970000
-0.3	1	1000	12	5970000
-0.2	1	1000	12	5970000
-0.1	1	1000	12	5970000
-1	1	1000	13	5970000
-0.5	1	1000	13	5970000
-0.4	1	1000	13	5970000
-0.3	1	1000	13	5970000
-0.2	1	1000	13	5970000
-0.1	1	1000	13	5970000
-1	1	1000	14	5970000
-0.5	1	1000	14	5970000
-0.4	1	1000	14	5970000
-0.3	1	1000	14	5970000
-0.2	1	1000	14	5970000
-0.1	1	1000	14	5970000
-1	1	1000	15	5970000
-0.5	1	1000	15	5970000
-0.4	1	1000	15	5970000
-0.3	1	1000	15	5970000
-0.2	1	1000	15	5970000
-0.1	1	1000	15	5970000
-1	1	1000	16	5970000
-0.5	1	1000	16	5970000
-0.4	1	1000	16	5970000
-0.3	1	1000	16	5970000
-0.2	1	1000	16	5970000
-0.1	1	1000	16	5970000
-1	1	1000	17	5970000
-0.5	1	1000	17	5970000
-0.4	1	1000	17	5970000
-0.3	1	1000	17	5970000
-0.2	1	1000	17	5970000
-0.1	1	1000	17	5970000
-1	1	1000	18	5970000
-0.5	1	1000	18	5970000
-0.4	1	1000	18	5970000
-0.3	1	1000	18	5970000
-0.2	1	1000	18	5970000
-0.1	1	1000	18	5970000
-1	1	970	1	5970000
-0.5	1	970	1	5970000
-0.4	1	970	1	5970000
-0.3	1	970	1	5970000
-0.2	1	970	1	5970000
-0.1	1	970	1	5970000
-1	1	970	2	5970000
-0.5	1	970	2	5970000
-0.4	1	970	2	5970000
-0.3	1	970	2	5970000
-0.2	1	970	2	5970000
-0.1	1	970	2	5970000
-1	1	970	3	5970000
-0.5	1	970	3	5970000
-0.4	1	970	3	5970000
-0.3	1	970	3	5970000
-0.2	1	970	3	5970000
-0.1	1	970	3	5970000
-1	1	970	4	5970000
-0.5	1	970	4	5970000
-0.4	1	970	4	5970000
-0.3	1	970	4	5970000
-0.2	1	970	4	5970000
-0.1	1	970	4	5970000
-1	1	970	5	5970000
-0.5	1	970	5	5970000
-0.4	1	970	5	5970000
-0.3	1	970	5	5970000
-0.2	1	970	5	5970000
-0.1	1	970	5	5970000
-1	1	970	6	5970000
-0.5	1	970	6	5970000
-0.4	1	970	6	5970000
-0.3	1	970	6	5970000
-0.2	1	970	6	5970000
-0.1	1	970	6	5970000
-1	1	970	7	5970000
-0.5	1	970	7	5970000
-0.4	1	970	7	5970000
-0.3	1	970	7	5970000
-0.2	1	970	7	5970000
-0.1	1	970	7	5970000
-1	1	970	8	5970000
-0.5	1	970	8	5970000
-0.4	1	970	8	5970000
-0.3	1	970	8	5970000
-0.2	1	970	8	5970000
-0.1	1	970	8	5970000
-1	1	970	9	5970000
-0.5	1	970	9	5970000
-0.4	1	970	9	5970000
-0.3	1	970	9	5970000
-0.2	1	970	9	5970000
-0.1	1	970	9	5970000
-1	1	970	10	5970000
-0.5	1	970	10	5970000
-0.4	1	970	10	5970000
-0.3	1	970	10	5970000
-0.2	1	970	10	5970000
-0.1	1	970	10	5970000
-1	1	970	11	5970000
-0.5	1	970	11	5970000
-0.4	1	970	11	5970000
-0.3	1	970	11	5970000
-0.2	1	970	11	5970000
-0.1	1	970	11	5970000
-1	1	970	12	5970000
-0.5	1	970	12	5970000
-0.4	1	970	12	5970000
-0.3	1	970	12	5970000
-0.2	1	970	12	5970000
-0.1	1	970	12	5970000
-1	1	970	13	5970000
-0.5	1	970	13	5970000
-0.4	1	970	13	5970000
-0.3	1	970	13	5970000
-0.2	1	970	13	5970000
-0.1	1	970	13	5970000
-1	1	970	14	5970000
-0.5	1	970	14	5970000
-0.4	1	970	14	5970000
-0.3	1	970	14	5970000
-0.2	1	970	14	5970000
-0.1	1	970	14	5970000
-1	1	970	15	5970000
-0.5	1	970	15	5970000
-0.4	1	970	15	5970000
-0.3	1	970	15	5970000
-0.2	1	970	15	5970000
-0.1	1	970	15	5970000
-1	1	970	16	5970000
-0.5	1	970	16	5970000
-0.4	1	970	16	5970000
-0.3	1	970	16	5970000
-0.2	1	970	16	5970000
-0.1	1	970	16	5970000
-1	1	970	17	5970000
-0.5	1	970	17	5970000
-0.4	1	970	17	5970000
-0.3	1	970	17	5970000
-0.2	1	970	17	5970000
-0.1	1	970	17	5970000
-1	1	970	18	5970000
-0.5	1	970	18	5970000
-0.4	1	970	18	5970000
-0.3	1	970	18	5970000
-0.2	1	970	18	5970000
-0.1	1	970	18	5970000
-1	1	960	1	5970000
-0.5	1	960	1	5970000
-0.4	1	960	1	5970000
-0.3	1	960	1	5970000
-0.2	1	960	1	5970000
-0.1	1	960	1	5970000
-1	1	960	2	5970000
-0.5	1	960	2	5970000
-0.4	1	960	2	5970000
-0.3	1	960	2	5970000
-0.2	1	960	2	5970000
-0.1	1	960	2	5970000
-1	1	960	3	5970000
-0.5	1	960	3	5970000
-0.4	1	960	3	5970000
-0.3	1	960	3	5970000
-0.2	1	960	3	5970000
-0.1	1	960	3	5970000
-1	1	960	4	5970000
-0.5	1	960	4	5970000
-0.4	1	960	4	5970000
-0.3	1	960	4	5970000
-0.2	1	960	4	5970000
-0.1	1	960	4	5970000
-1	1	960	5	5970000
-0.5	1	960	5	5970000
-0.4	1	960	5	5970000
-0.3	1	960	5	5970000
-0.2	1	960	5	5970000
-0.1	1	960	5	5970000
-1	1	960	6	5970000
-0.5	1	960	6	5970000
-0.4	1	960	6	5970000
-0.3	1	960	6	5970000
-0.2	1	960	6	5970000
-0.1	1	960	6	5970000
-1	1	960	7	5970000
-0.5	1	960	7	5970000
-0.4	1	960	7	5970000
-0.3	1	960	7	5970000
-0.2	1	960	7	5970000
-0.1	1	960	7	5970000
-1	1	960	8	5970000
-0.5	1	960	8	5970000
-0.4	1	960	8	5970000
-0.3	1	960	8	5970000
-0.2	1	960	8	5970000
-0.1	1	960	8	5970000
-1	1	960	9	5970000
-0.5	1	960	9	5970000
-0.4	1	960	9	5970000
-0.3	1	960	9	5970000
-0.2	1	960	9	5970000
-0.1	1	960	9	5970000
-1	1	960	10	5970000
-0.5	1	960	10	5970000
-0.4	1	960	10	5970000
-0.3	1	960	10	5970000
-0.2	1	960	10	5970000
-0.1	1	960	10	5970000
-1	1	960	11	5970000
-0.5	1	960	11	5970000
-0.4	1	960	11	5970000
-0.3	1	960	11	5970000
-0.2	1	960	11	5970000
-0.1	1	960	11	5970000
-1	1	960	12	5970000
-0.5	1	960	12	5970000
-0.4	1	960	12	5970000
-0.3	1	960	12	5970000
-0.2	1	960	12	5970000
-0.1	1	960	12	5970000
-1	1	960	13	5970000
-0.5	1	960	13	5970000
-0.4	1	960	13	5970000
-0.3	1	960	13	5970000
-0.2	1	960	13	5970000
-0.1	1	960	13	5970000
-1	1	960	14	5970000
-0.5	1	960	14	5970000
-0.4	1	960	14	5970000
-0.3	1	960	14	5970000
-0.2	1	960	14	5970000
-0.1	1	960	14	5970000
-1	1	960	15	5970000
-0.5	1	960	15	5970000
-0.4	1	960	15	5970000
-0.3	1	960	15	5970000
-0.2	1	960	15	5970000
-0.1	1	960	15	5970000
-1	1	960	16	5970000
-0.5	1	960	16	5970000
-0.4	1	960	16	5970000
-0.3	1	960	16	5970000
-0.2	1	960	16	5970000
-0.1	1	960	16	5970000
-1	1	960	17	5970000
-0.5	1	960	17	5970000
-0.4	1	960	17	5970000
-0.3	1	960	17	5970000
-0.2	1	960	17	5970000
-0.1	1	960	17	5970000
-1	1	960	18	5970000
-0.5	1	960	18	5970000
-0.4	1	960	18	5970000
-0.3	1	960	18	5970000
-0.2	1	960	18	5970000
-0.1	1	960	18	5970000
-1	1	950	1	5970000
-0.5	1	950	1	5970000
-0.4	1	950	1	5970000
-0.3	1	950	1	5970000
-0.2	1	950	1	5970000
-0.1	1	950	1	5970000
-1	1	950	2	5970000
-0.5	1	950	2	5970000
-0.4	1	950	2	5970000
-0.3	1	950	2	5970000
-0.2	1	950	2	5970000
-0.1	1	950	2	5970000
